"","individualID","climbID","microchipID","birthID","matingID","individualIdSource","materialOrigin","sex","species","generation","dateBirth","ageDeath","ageDeathUnits","brainWeight","rodentWeight","rodentDiet","bedding","room","waterpH","treatmentDose","treatmentType","stockNumber","genotype","genotypeBackground","modelSystemName","officialName"
"1","11611","13416","","B-913-20","I-464/465","UCI_TMF","UCI_TMF","Male","Mouse","N1","2020-11-09T08:00:00","","","","","7% standard","","","","","","24_5xfAD","HEMI","","",""
"2","11616","13421","","B-913-20","I-464/465","UCI_TMF","UCI_TMF","Female","Mouse","N1","2020-11-09T08:00:00","","","","","7% standard","","","","","","24_5xfAD","HEMI","","",""
"3","11617","13422","","B-913-20","I-464/465","UCI_TMF","UCI_TMF","Female","Mouse","N1","2020-11-09T08:00:00","","","","","7% standard","","","","","","24_5xfAD","HEMI","","",""
"4","11619","13424","","B-914-20","I-468/469","UCI_TMF","UCI_TMF","Male","Mouse","N1","2020-11-09T08:00:00","","","","","7% standard","","","","","","24_5xfAD","HEMI","","",""
"5","11621","13426","","B-914-20","I-468/469","UCI_TMF","UCI_TMF","Male","Mouse","N1","2020-11-09T08:00:00","","","","","7% standard","","","","","","24_5xfAD","HEMI","","",""
"6","11622","13427","","B-914-20","I-468/469","UCI_TMF","UCI_TMF","Male","Mouse","N1","2020-11-09T08:00:00","","","","","7% standard","","","","","","24_5xfAD","HEMI","","",""
"7","11625","13430","","B-914-20","I-468/469","UCI_TMF","UCI_TMF","Female","Mouse","N1","2020-11-09T08:00:00","","","","","7% standard","","","","","","24_5xfAD","HEMI","","",""
"8","11626","13431","","B-914-20","I-468/469","UCI_TMF","UCI_TMF","Female","Mouse","N1","2020-11-09T08:00:00","","","","","7% standard","","","","","","24_5xfAD","HEMI","","",""
"9","11631","13436","","B-915-20","I-470/471","UCI_TMF","UCI_TMF","Male","Mouse","N1","2020-11-09T08:00:00","","","","","7% standard","","","","","","24_5xfAD","HEMI","","",""
"10","11633","13438","","B-915-20","I-470/471","UCI_TMF","UCI_TMF","Male","Mouse","N1","2020-11-09T08:00:00","","","","","7% standard","","","","","","24_5xfAD","HEMI","","",""
